
1642341570252 :: quotes :: {'symbols': 'NSE:VOLTAS-EQ,NSE:VOLTAS22JAN1320PE,NSE:VOLTAS22JANFUT'} :: 1642341570554 :: {'s': 'ok', 'd': [{'n': 'NSE:VOLTAS-EQ', 's': 'ok', 'v': {'ch': 32.8, 'chp': 2.58, 'lp': 1303.65, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1272.95, 'high_price': 1317.3, 'low_price': 1262.65, 'prev_close_price': 1270.85, 'volume': 1513277, 'short_name': 'VOLTAS-EQ', 'exchange': 'NSE', 'description': 'NSE:VOLTAS-EQ', 'original_name': 'NSE:VOLTAS-EQ', 'symbol': 'NSE:VOLTAS-EQ', 'fyToken': '10100000003718', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JAN1320PE', 's': 'ok', 'v': {'ch': -40.45, 'chp': -54.08, 'lp': 34.35, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 65.2, 'high_price': 65.2, 'low_price': 29.55, 'prev_close_price': 74.8, 'volume': 212500, 'short_name': 'VOLTAS22JAN1320PE', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JAN1320PE', 'original_name': 'NSE:VOLTAS22JAN1320PE', 'symbol': 'NSE:VOLTAS22JAN1320PE', 'fyToken': '1011220127153755', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JANFUT', 's': 'ok', 'v': {'ch': 42.2, 'chp': 3.34, 'lp': 1307.55, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1265.9, 'high_price': 1321.0, 'low_price': 1258.45, 'prev_close_price': 1265.35, 'volume': 3507000, 'short_name': 'VOLTAS22JANFUT', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JANFUT', 'original_name': 'NSE:VOLTAS22JANFUT', 'symbol': 'NSE:VOLTAS22JANFUT', 'fyToken': '101122012767828', 'tt': 1642291200}}]}

1642341570570 :: quotes :: {'symbols': 'NSE:MUTHOOTFIN-EQ,NSE:MUTHOOTFIN22JAN1500CE,NSE:MUTHOOTFIN22JANFUT'} :: 1642341570820 :: {'s': 'ok', 'd': [{'n': 'NSE:MUTHOOTFIN-EQ', 's': 'ok', 'v': {'ch': -13.2, 'chp': -0.88, 'lp': 1484.85, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1498.0, 'high_price': 1502.45, 'low_price': 1477.1, 'prev_close_price': 1498.05, 'volume': 648098, 'short_name': 'MUTHOOTFIN-EQ', 'exchange': 'NSE', 'description': 'NSE:MUTHOOTFIN-EQ', 'original_name': 'NSE:MUTHOOTFIN-EQ', 'symbol': 'NSE:MUTHOOTFIN-EQ', 'fyToken': '101000000023650', 'tt': 1642291200}}, {'n': 'NSE:MUTHOOTFIN22JAN1500CE', 's': 'ok', 'v': {'ch': -9.45, 'chp': -22.63, 'lp': 32.3, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 38.05, 'high_price': 42.0, 'low_price': 31.0, 'prev_close_price': 41.75, 'volume': 280500, 'short_name': 'MUTHOOTFIN22JAN1500CE', 'exchange': 'NSE', 'description': 'NSE:MUTHOOTFIN22JAN1500CE', 'original_name': 'NSE:MUTHOOTFIN22JAN1500CE', 'symbol': 'NSE:MUTHOOTFIN22JAN1500CE', 'fyToken': '1011220127146822', 'tt': 1642291200}}, {'n': 'NSE:MUTHOOTFIN22JANFUT', 's': 'ok', 'v': {'ch': -15.1, 'chp': -1.0, 'lp': 1489.95, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1497.55, 'high_price': 1505.95, 'low_price': 1482.75, 'prev_close_price': 1505.05, 'volume': 1050750, 'short_name': 'MUTHOOTFIN22JANFUT', 'exchange': 'NSE', 'description': 'NSE:MUTHOOTFIN22JANFUT', 'original_name': 'NSE:MUTHOOTFIN22JANFUT', 'symbol': 'NSE:MUTHOOTFIN22JANFUT', 'fyToken': '101122012767751', 'tt': 1642291200}}]}

1642341812269 :: quotes :: {'symbols': 'NSE:VOLTAS-EQ,NSE:VOLTAS22JAN1320PE,NSE:VOLTAS22JANFUT'} :: 1642341812572 :: {'s': 'ok', 'd': [{'n': 'NSE:VOLTAS-EQ', 's': 'ok', 'v': {'ch': 32.8, 'chp': 2.58, 'lp': 1303.65, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1272.95, 'high_price': 1317.3, 'low_price': 1262.65, 'prev_close_price': 1270.85, 'volume': 1513277, 'short_name': 'VOLTAS-EQ', 'exchange': 'NSE', 'description': 'NSE:VOLTAS-EQ', 'original_name': 'NSE:VOLTAS-EQ', 'symbol': 'NSE:VOLTAS-EQ', 'fyToken': '10100000003718', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JAN1320PE', 's': 'ok', 'v': {'ch': -40.45, 'chp': -54.08, 'lp': 34.35, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 65.2, 'high_price': 65.2, 'low_price': 29.55, 'prev_close_price': 74.8, 'volume': 212500, 'short_name': 'VOLTAS22JAN1320PE', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JAN1320PE', 'original_name': 'NSE:VOLTAS22JAN1320PE', 'symbol': 'NSE:VOLTAS22JAN1320PE', 'fyToken': '1011220127153755', 'tt': 1642291200}}, {'n': 'NSE:VOLTAS22JANFUT', 's': 'ok', 'v': {'ch': 42.2, 'chp': 3.34, 'lp': 1307.55, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1265.9, 'high_price': 1321.0, 'low_price': 1258.45, 'prev_close_price': 1265.35, 'volume': 3507000, 'short_name': 'VOLTAS22JANFUT', 'exchange': 'NSE', 'description': 'NSE:VOLTAS22JANFUT', 'original_name': 'NSE:VOLTAS22JANFUT', 'symbol': 'NSE:VOLTAS22JANFUT', 'fyToken': '101122012767828', 'tt': 1642291200}}]}

1642341812588 :: quotes :: {'symbols': 'NSE:MUTHOOTFIN-EQ,NSE:MUTHOOTFIN22JAN1500CE,NSE:MUTHOOTFIN22JANFUT'} :: 1642341812869 :: {'s': 'ok', 'd': [{'n': 'NSE:MUTHOOTFIN-EQ', 's': 'ok', 'v': {'ch': -13.2, 'chp': -0.88, 'lp': 1484.85, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1498.0, 'high_price': 1502.45, 'low_price': 1477.1, 'prev_close_price': 1498.05, 'volume': 648098, 'short_name': 'MUTHOOTFIN-EQ', 'exchange': 'NSE', 'description': 'NSE:MUTHOOTFIN-EQ', 'original_name': 'NSE:MUTHOOTFIN-EQ', 'symbol': 'NSE:MUTHOOTFIN-EQ', 'fyToken': '101000000023650', 'tt': 1642291200}}, {'n': 'NSE:MUTHOOTFIN22JAN1500CE', 's': 'ok', 'v': {'ch': -9.45, 'chp': -22.63, 'lp': 32.3, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 38.05, 'high_price': 42.0, 'low_price': 31.0, 'prev_close_price': 41.75, 'volume': 280500, 'short_name': 'MUTHOOTFIN22JAN1500CE', 'exchange': 'NSE', 'description': 'NSE:MUTHOOTFIN22JAN1500CE', 'original_name': 'NSE:MUTHOOTFIN22JAN1500CE', 'symbol': 'NSE:MUTHOOTFIN22JAN1500CE', 'fyToken': '1011220127146822', 'tt': 1642291200}}, {'n': 'NSE:MUTHOOTFIN22JANFUT', 's': 'ok', 'v': {'ch': -15.1, 'chp': -1.0, 'lp': 1489.95, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 1497.55, 'high_price': 1505.95, 'low_price': 1482.75, 'prev_close_price': 1505.05, 'volume': 1050750, 'short_name': 'MUTHOOTFIN22JANFUT', 'exchange': 'NSE', 'description': 'NSE:MUTHOOTFIN22JANFUT', 'original_name': 'NSE:MUTHOOTFIN22JANFUT', 'symbol': 'NSE:MUTHOOTFIN22JANFUT', 'fyToken': '101122012767751', 'tt': 1642291200}}]}

1642341812885 :: quotes :: {'symbols': 'NSE:POLYCAB-EQ,NSE:POLYCAB22JAN2500PE,NSE:POLYCAB22JANFUT'} :: 1642341813167 :: {'s': 'ok', 'd': [{'n': 'NSE:POLYCAB-EQ', 's': 'ok', 'v': {'ch': 8.75, 'chp': 0.33, 'lp': 2693.9, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 2685.15, 'high_price': 2759.9, 'low_price': 2652.15, 'prev_close_price': 2685.15, 'volume': 1636239, 'short_name': 'POLYCAB-EQ', 'exchange': 'NSE', 'description': 'NSE:POLYCAB-EQ', 'original_name': 'NSE:POLYCAB-EQ', 'symbol': 'NSE:POLYCAB-EQ', 'fyToken': '10100000009590', 'tt': 1642291200}}, {'n': 'NSE:POLYCAB22JAN2500PE', 's': 'ok', 'v': {'ch': -5.45, 'chp': -19.71, 'lp': 22.2, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 27.7, 'high_price': 31.15, 'low_price': 16.35, 'prev_close_price': 27.65, 'volume': 201300, 'short_name': 'POLYCAB22JAN2500PE', 'exchange': 'NSE', 'description': 'NSE:POLYCAB22JAN2500PE', 'original_name': 'NSE:POLYCAB22JAN2500PE', 'symbol': 'NSE:POLYCAB22JAN2500PE', 'fyToken': '1011220127149223', 'tt': 1642291200}}, {'n': 'NSE:POLYCAB22JANFUT', 's': 'ok', 'v': {'ch': 4.8, 'chp': 0.18, 'lp': 2700.45, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 2685.0, 'high_price': 2766.0, 'low_price': 2656.75, 'prev_close_price': 2695.65, 'volume': 1452000, 'short_name': 'POLYCAB22JANFUT', 'exchange': 'NSE', 'description': 'NSE:POLYCAB22JANFUT', 'original_name': 'NSE:POLYCAB22JANFUT', 'symbol': 'NSE:POLYCAB22JANFUT', 'fyToken': '101122012767779', 'tt': 1642291200}}]}

1642341813182 :: quotes :: {'symbols': 'NSE:IRCTC-EQ,NSE:IRCTC22JAN900PE,NSE:IRCTC22JANFUT'} :: 1642341813444 :: {'s': 'ok', 'd': [{'n': 'NSE:IRCTC-EQ', 's': 'ok', 'v': {'ch': 34.55, 'chp': 3.98, 'lp': 902.7, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 863.9, 'high_price': 908.0, 'low_price': 856.7, 'prev_close_price': 868.15, 'volume': 14072932, 'short_name': 'IRCTC-EQ', 'exchange': 'NSE', 'description': 'NSE:IRCTC-EQ', 'original_name': 'NSE:IRCTC-EQ', 'symbol': 'NSE:IRCTC-EQ', 'fyToken': '101000000013611', 'tt': 1642291200}}, {'n': 'NSE:IRCTC22JAN900PE', 's': 'ok', 'v': {'ch': -20.3, 'chp': -41.77, 'lp': 28.3, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 43.45, 'high_price': 43.45, 'low_price': 26.15, 'prev_close_price': 48.6, 'volume': 2384380, 'short_name': 'IRCTC22JAN900PE', 'exchange': 'NSE', 'description': 'NSE:IRCTC22JAN900PE', 'original_name': 'NSE:IRCTC22JAN900PE', 'symbol': 'NSE:IRCTC22JAN900PE', 'fyToken': '1011220127119561', 'tt': 1642291200}}, {'n': 'NSE:IRCTC22JANFUT', 's': 'ok', 'v': {'ch': 35.8, 'chp': 4.11, 'lp': 906.9, 'spread': 0.0, 'ask': 0.0, 'bid': 0.0, 'open_price': 870.7, 'high_price': 912.0, 'low_price': 861.0, 'prev_close_price': 871.1, 'volume': 12867800, 'short_name': 'IRCTC22JANFUT', 'exchange': 'NSE', 'description': 'NSE:IRCTC22JANFUT', 'original_name': 'NSE:IRCTC22JANFUT', 'symbol': 'NSE:IRCTC22JANFUT', 'fyToken': '101122012767706', 'tt': 1642291200}}]}
